CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice
10,PCA_KRR,33.6022,30.43505,14.78214,4.10056,18.29463,1.96546,0.84751,0.91713
20,PCA_KRR,17.10251,16.00547,6.48111,1.97905,11.7065,1.5296,0.92813,0.96253
30,PCA_KRR,12.00138,11.24753,4.77322,1.5764,9.4769,1.51721,0.93678,0.9672
40,PCA_KRR,9.64894,9.01745,4.5993,1.45222,8.99579,1.50428,0.94173,0.96981
50,PCA_KRR,8.19697,7.63997,4.52369,1.43948,9.25793,1.48246,0.9439,0.97096
60,PCA_KRR,7.2504,6.74221,4.54685,1.43893,9.34504,1.46554,0.94407,0.97105
70,PCA_KRR,6.83991,6.25631,4.73062,1.43812,9.84843,1.4965,0.93327,0.96513
10,PCA_LINEAR,33.44223,30.31777,14.6884,4.08879,19.55404,2.17084,0.84528,0.9158
20,PCA_LINEAR,16.88025,15.84051,6.35259,1.95912,12.48973,1.64832,0.92938,0.96321
30,PCA_LINEAR,11.88485,11.16515,4.66911,1.52122,10.06442,1.46474,0.93908,0.9684
40,PCA_LINEAR,9.51433,8.93279,4.43622,1.38211,9.31437,1.42847,0.94378,0.97087
50,PCA_LINEAR,8.04904,7.55109,4.39842,1.3516,9.20388,1.41361,0.9461,0.9721
60,PCA_LINEAR,7.06098,6.61665,4.39446,1.34118,9.09194,1.40768,0.94685,0.97249
70,PCA_LINEAR,6.41438,5.99073,4.38632,1.3486,9.61421,1.43031,0.94279,0.97034
10,PCA_SVR,33.70115,30.50126,15.36225,4.23859,25.57729,2.11087,0.84374,0.91491
20,PCA_SVR,16.93934,15.79137,6.20814,2.01916,11.19127,1.52584,0.92603,0.96141
30,PCA_SVR,11.99827,11.2194,4.90421,1.61634,9.47673,1.54313,0.9358,0.96668
40,PCA_SVR,9.64647,9.00168,4.84216,1.50578,9.12275,1.5427,0.9397,0.96876
50,PCA_SVR,8.2005,7.64751,4.78026,1.4905,9.428,1.58025,0.94222,0.9701
60,PCA_SVR,7.2665,6.77166,4.80677,1.49092,9.50716,1.60872,0.94244,0.97021
70,PCA_SVR,6.9537,6.39708,4.98701,1.50031,10.13823,1.67656,0.92983,0.96328
10,PURE_GPR,34.07221,30.9623,14.98901,4.26805,17.93222,2.22599,0.82903,0.90606
20,PURE_GPR,17.05042,16.04197,6.43637,2.07614,11.79674,1.66786,0.91163,0.95349
30,PURE_GPR,11.91565,11.23131,5.66156,1.85937,12.74065,1.56102,0.92143,0.95894
40,PURE_GPR,9.67221,9.10396,5.57458,1.75514,12.58673,1.48015,0.92785,0.96238
50,PURE_GPR,8.265,7.76941,5.71999,1.78642,13.20707,1.43672,0.92778,0.96233
60,PURE_GPR,7.39897,6.94267,5.7666,1.79565,13.17479,1.43165,0.92909,0.96306
70,PURE_GPR,7.0808,6.62017,5.90588,1.81527,14.93137,1.47491,0.92227,0.95935
10,PURE_KRR,33.61072,30.45524,14.97148,4.1531,18.52599,2.08501,0.83847,0.91167
20,PURE_KRR,17.05759,15.95037,6.35072,1.98938,11.49931,1.49483,0.91679,0.95625
30,PURE_KRR,11.96139,11.19174,5.11444,1.69384,10.12387,1.45926,0.92785,0.96236
40,PURE_KRR,9.69419,9.03723,5.10245,1.64311,9.9438,1.47178,0.93249,0.96482
50,PURE_KRR,8.29638,7.7069,5.14221,1.66156,10.34572,1.45703,0.9341,0.96567
60,PURE_KRR,7.38422,6.83915,5.19332,1.67541,10.41486,1.43597,0.9352,0.96628
70,PURE_KRR,6.99225,6.40277,5.35505,1.69076,10.89891,1.45592,0.92488,0.9606
10,PURE_SVR,33.9404,30.76578,15.11032,4.17281,18.32574,2.11135,0.8383,0.91153
20,PURE_SVR,17.24664,16.11418,6.52326,2.02345,12.04295,1.60855,0.91675,0.95619
30,PURE_SVR,12.04997,11.26819,5.31802,1.71716,10.77463,1.50162,0.92737,0.96206
40,PURE_SVR,9.81286,9.13316,5.28516,1.67344,10.84807,1.59142,0.93216,0.9646
50,PURE_SVR,8.44281,7.82978,5.30872,1.69354,11.19747,1.56798,0.93297,0.96503
60,PURE_SVR,7.52676,6.95539,5.34421,1.70667,11.11733,1.53683,0.93436,0.96579
70,PURE_SVR,7.09725,6.48281,5.49304,1.71806,11.2982,1.53717,0.92505,0.96067
10,RATIO_CTRL,29.44845771,26.6561612,14.07709114,3.979840361,19.77047831,2.452473193,0.849469277,0.917995843
20,RATIO_CTRL,14.94894705,13.91892277,6.406932229,2.123520542,12.19505018,1.917168072,0.919840422,0.957891988
30,RATIO_CTRL,10.58080223,9.836843916,5.482078916,1.868565843,11.25595355,1.852020904,0.925926807,0.961256928
40,RATIO_CTRL,8.664661386,8.014912108,5.496253434,1.779831325,10.79837211,1.887406325,0.930797892,0.963894819
50,RATIO_CTRL,7.479148735,6.892920422,5.494997048,1.778138614,10.95605976,1.844128795,0.932719819,0.964928193
60,RATIO_CTRL,6.717073012,6.167616024,5.515261988,1.78155741,10.93290657,1.836613193,0.933662229,0.96544006
70,RATIO_CTRL,6.45559753,5.849924036,5.648478012,1.779065904,11.53577223,1.83567259,0.923210843,0.959717229
